YacName,Loc,Tonn,Cu,Au,Pb,Ag,Zn
HW,CNBC,   11742000.,2200, 0.0000070,400,    0.0001000,5100
Hyers Island,CNMN,     363000.,2560, 0.0000000,0,    0.0000000,0
Iron Dyke,USOR,     512000.,2840, 0.0007000,0,    0.0029500,0
Iron King,USAZ,    4543000.,190, 0.0004200,2500,    0.0126500,7340
Iron Mountain,USCA,    7880000.,3130, 0.0000770,0,    0.0025400,1050
Irsahan,TRKY,    1000000.,750, 0.0000000,0,    0.0000000,0
IsoMajsiNewInsco,CNQU,    4570000.,1500, 0.0001020,0,    0.0006330,2900
Israil,TRKY,    3620000.,1000, 0.0000000,0,    0.0000000,0
Iwami East,JAPN,    2790000.,550, 0.0000000,1580,    0.0000000,6860
Iwami West,JAPN,    1400000.,570, 0.0000000,1820,    0.0000000,6680
Izok Lake,CNNT,   10900000.,2820, 0.0000000,1420,    0.0070000,13700
Jabal Sayid,SAAR,   10800000.,1550, 0.0000300,0,    0.0035000,1210
Jakobsbakken,NRWY,    4500000.,1550, 0.0000000,0,    0.0007300,2420
Jameland,CNON,     462000.,990, 0.0000030,0,    0.0002800,8770
Jerome,USAZ,   29000000.,5000, 0.0001370,0,    0.0049700,200
Joanne,CNMN,     453600.,1280, 0.0000000,0,    0.0000000,0
Joliet,CNQU,    1250000.,970, 0.0000000,0,    0.0000000,0
Josselin,CNQU,      54000.,2070, 0.0000000,0,    0.0025000,3170
Joutel,CNQU,    1720000.,1650, 0.0000000,0,    0.0003500,2010
Kalkanli,TRKY,     148000.,2270, 0.0000000,0,    0.0000000,0
Kam Kotia,CNON,    5840000.,1110, 0.0000029,0,    0.0003500,1210
Kamkta(Kmnosawa),JAPN,    2600000.,1300, 0.0000000,0,    0.0000000,780
Kankberg,SWDN,     240000.,300, 0.0002400,400,    0.0045000,2900
Kedtrask,SWDN,      61000.,250, 0.0000000,210,    0.0000000,2840
Kelly-Desmond,CNQU,     997000.,730, 0.0000000,0,    0.0031200,6950
Key Anacon,CNNB,    1770000.,240, 0.0000000,2180,    0.0079200,5870
Keystone,USCA,     111000.,6000, 0.0002090,0,    0.0092600,8000
Keystone-Union,USCA,    1200000.,2370, 0.0000010,0,    0.0000750,0
Khans Creek,AUNS,      50000.,1000, 0.0000000,3500,    0.0136000,25100
Khnaiguiyah,SAAR,   30000000.,400, 0.0000000,0,    0.0000000,3300
Kidd Creek,CNON,  242000000.,2660, 0.0000000,210,    0.0070600,5640
Killingdal,NRWY,    3000000.,1700, 0.0000090,400,    0.0024000,5500
Kimheden,SWDN,     131000.,930, 0.0000000,0,    0.0000000,230
Kittelgruvan,SWDN,     116000.,320, 0.0000260,170,    0.0027000,3200
Kizilkaya,TRKY,    9072000.,800, 0.0000000,0,    0.0000000,500
Koff Zone,CNMN,     275000.,2030, 0.0000000,0,    0.0000000,0
Koprubasi,TRKY,    9870000.,330, 0.0000000,1770,    0.0000000,2560
Kosaka(Motoyama),JAPN,    8000000.,2200, 0.0000800,800,    0.0100000,4500
Kosaka(UchntUwa),JAPN,   19860000.,1990, 0.0000880,1540,    0.0110000,5310
Kostere,TRKY,     726000.,3230, 0.0000000,3840,    0.0000000,4980
Kristinberg,SWDN,   11800000.,1000, 0.0000900,300,    0.0023000,2400
Kuntmi(1-5InFud),JAPN,    2100000.,850, 0.0000400,870,    0.0031700,7090
Kunitomi (3-4-6),JAPN,     700000.,1210, 0.0000540,340,    0.0056000,2510
Kunitomi (7-8),JAPN,     400000.,850, 0.0001050,1900,    0.0085500,8200
Kurosawa,JAPN,    4500000.,1600, 0.0000300,1110,    0.0055000,10700
Kutcho Creek,CNBC,   15100000.,2150, 0.0000400,0,    0.0043900,3530
Kutlular,TRKY,    1900000.,1740, 0.0000000,0,    0.0000000,320
Kuvarshan,TRKY,    1239000.,1500, 0.0001000,600,    0.0025000,3000
La Joya,SPAN,    2880000.,500, 0.0000000,650,    0.0000000,600
La Torrera,SPAN,    1500000.,1390, 0.0000000,0,    0.0000000,0
La Zarza,SPAN,  100000000.,700, 0.0000000,800,    0.0000000,1300
Lagunazo,SPAN,    1500000.,800, 0.0000000,800,    0.0000000,1000
Lahanos,TRKY,   11582000.,1330, 0.0000500,100,    0.0005500,1500
Lake Dufault,CNQU,    4090000.,3200, 0.0000790,0,    0.0044200,5600
