yacName,Loc,Tonn,Au,Ag
Minto,CNBC,81000,  0.000680,  0.0020000
Mizpah,USAK,450,  0.005700,  0.0000000
Mocking Bird,,79,  0.004100,  0.0000000
Mohawk-Dome View,USAK,1300,  0.000820,  0.0000000
Mokelumne,USCA,410000,  0.000380,  0.0000000
Moku,,82000,  0.000600,  0.0000000
Molega,CNNS,64000,  0.001700,  0.0000000
Montaque,CNNS,120000,  0.001800,  0.0000000
Moore's Flat,USCA,270000,  0.000920,  0.0000000
Moose River,CNNS,140000,  0.000590,  0.0000000
Moosehead,CNNS,2500,  0.000580,  0.0000000
Mooseland,CNNS,8000,  0.001500,  0.0000000
Mormon Bar,USCA,160,  0.000960,  0.0000000
Morning Star,AUVT,90,  0.002200,  0.0003400
Morning Star,AUVT,690000,  0.002800,  0.0000000
Morris Ravine,USCA,480000,  0.000340,  0.0000000
Mount Buckingham,,600,  0.001400,  0.0008100
Mount Bullion,USCA,680000,  0.001100,  0.0002700
Mount Gaines,USCA,280000,  0.001700,  0.0000000
Mount Pleasant,USCA,210000,  0.000890,  0.0000000
Mount Shasta,USCA,3800,  0.007100,  0.0000000
Mount Uniacke,CNNS,55000,  0.001600,  0.0000000
Mount Vernon,USCA,1600,  0.001000,  0.0000000
Mountain King,USCA,200000,  0.000750,  0.0003800
Nalden South,AUVT,970000,  0.002800,  0.0000000
Nashville,USCA,730000,  0.000390,  0.0000000
National,USCA,8200,  0.003600,  0.0000000
New Bendigo,AUVT,69000,  0.001600,  0.0000000
New Era-Rowe,AUVT,260000,  0.001000,  0.0000000
Nimrod,AUVT,20000,  0.002600,  0.0000000
Nimrod Mine,AUVT,82,  0.012200,  0.0000000
Noble,,3900,  0.002300,  0.0000000
North Galice,,230000,  0.001200,  0.0000000
North Kinsley,,8400,  0.001800,  0.0000000
North Murphy,USCA,61000,  0.002400,  0.0000000
North Star,USAK,1900,  0.000470,  0.0000000
Nuggetty,AUVT,20000,  0.002400,  0.0000000
Oakes & Reeses,,600,  0.001400,  0.0008100
O'Connors,AUVT,44000,  0.002700,  0.0000000
Old Diggings,USCA,260000,  0.002200,  0.0000000
Oldham,CNNS,110000,  0.002400,  0.0000000
Ophir,USCA,610000,  0.001100,  0.0000000
Oregon Bell,USOR,18000,  0.002100,  0.0000000
